id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
0000000000,*,NULL,0,0,1,0,30,NULL,*
"11001     ","Ilmu Kedokteran",NULL,0,0,1,0,40,NULL,11
"11002     ","Ilmu Kedokteran Dasar",NULL,0,0,1,0,40,NULL,11
"11006     ",Biomedik,NULL,0,0,1,0,40,NULL,11
"11101     ","Ilmu Kedokteran",NULL,0,0,1,0,35,NULL,11
"11102     ","Ilmu Kedokteran Keluarga",NULL,0,0,1,0,35,NULL,11
"11103     ","Ilmu Kedokteran Klinis",NULL,0,0,1,0,35,NULL,11
"11104     ","Ilmu Kedokteran Tropis",NULL,0,0,1,0,35,NULL,11
"11105     ",Imunologi,NULL,0,0,1,0,35,NULL,11
"11106     ",Biomedik,NULL,0,0,1,0,35,NULL,11
"11107     ","Imaging Diagnostik",NULL,0,0,1,0,35,NULL,11
"11108     ","Ergonomi Fisiologi Kerja",NULL,0,0,1,0,35,NULL,11
"11109     ","Ilmu Pendidikan Kedokteran",NULL,0,0,1,0,35,NULL,11
"11110     ","Vaksinologi dan Imunoterapetika",NULL,0,0,1,0,35,NULL,11
"11122     ","Ilmu Kesehatan Olah Raga",NULL,0,0,1,0,35,NULL,11
"11123     ","Teknologi Biomedis",NULL,0,0,1,0,35,NULL,11
"11124     ","Ilmu Forensik",NULL,0,0,1,0,35,NULL,11
"11201     ","Pendidikan Dokter",NULL,0,0,1,0,30,NULL,11
"11202     ",Fisioterapi,NULL,0,0,1,0,30,NULL,11
"11210     ","Bio informatika",NULL,0,0,1,0,30,NULL,11
"11298     ",Andrologi,NULL,0,0,1,0,32,NULL,11
"11301     ",Fisioterapi,NULL,0,0,1,0,23,NULL,11
"11302     ","Teknik Radiodiagnostik & Radioterapi",NULL,0,0,1,0,23,NULL,11
"11303     ","Okupasi Terapi",NULL,0,0,1,0,23,NULL,11
"11306     ","Pengobatan Tradisional Cina",NULL,0,0,1,0,23,NULL,11
"11307     ",Akupunktur,NULL,0,0,1,0,23,NULL,11
"11311     ","Orthotik Prostetik",NULL,0,0,1,0,23,NULL,11
"11401     ",Fisioterapi,NULL,0,0,1,0,22,NULL,11
"11402     ","Radiodiagnostik Dan Radioterapi",NULL,0,0,1,0,22,NULL,11
"11403     ","Okupasi Terapi",NULL,0,0,1,0,22,NULL,11
"11404     ","Repraksionis Optisien",NULL,0,0,1,0,22,NULL,11
"11406     ","Pengobatan Tradisional",NULL,0,0,1,0,22,NULL,11
"11407     ",Akupunktur,NULL,0,0,1,0,22,NULL,11
"11408     ","Teknik Kardiovaskuler",NULL,0,0,1,0,22,NULL,11
"11409     ","Kesehatan Lingkungan",NULL,0,0,1,0,22,NULL,11
"11410     ",Teknobiomedik,NULL,0,0,1,0,30,NULL,11
"11411     ","Orthotik Prostetik",NULL,0,0,1,0,22,NULL,11
"11472     ","Teknik Radiodiagnostik & Radioterapi (Kampus Purwokerto)",NULL,0,0,1,0,22,NULL,11
"11608     ","Teknologi Transfusi Darah",NULL,0,0,1,0,20,NULL,11
"11701     ","Ilmu Kesehatan Mata",NULL,0,0,1,0,32,NULL,11
"11702     ","Ilmu Penyakit Dalam",NULL,0,0,1,0,32,NULL,11
"11703     ",Neurologi,NULL,0,0,1,0,32,NULL,11
"11704     ","Ilmu Penyakit Kulit dan Kelamin",NULL,0,0,1,0,32,NULL,11
"11705     ","Ilmu Kesehatan Tht",NULL,0,0,1,0,32,NULL,11
"11706     ",Anestesiologi,NULL,0,0,1,0,32,NULL,11
"11707     ","Ilmu Bedah",NULL,0,0,1,0,32,NULL,11
"11708     ","Ilmu Kebidanan Dan Penyakit Kandungan",NULL,0,0,1,0,32,NULL,11
"11709     ","Ilmu Penyakit Paru",NULL,0,0,1,0,32,NULL,11
"11710     ","Ilmu Kedokteran Forensik",NULL,0,0,1,0,32,NULL,11
"11711     ","Ilmu Kesehatan Anak",NULL,0,0,1,0,32,NULL,11
"11712     ","Ilmu Bedah Orthopaedi",NULL,0,0,1,0,32,NULL,11
"11713     ","Ilmu Bedah Urologi",NULL,0,0,1,0,32,NULL,11
"11714     ","Bedah Plastik",NULL,0,0,1,0,32,NULL,11
"11715     ","Ilmu Penyakit Jantung",NULL,0,0,1,0,32,NULL,11
"11716     ","Obstetri dan Ginekologi",NULL,0,0,1,0,37,NULL,11
"11717     ","Ilmu Bedah Anak",NULL,0,0,1,0,32,NULL,11
"11718     ","Ilmu Patologi Anatomi",NULL,0,0,1,0,32,NULL,11
"11719     ","Ilmu Patologi Klinik",NULL,0,0,1,0,32,NULL,11
"11720     ","Ilmu Kedokteran Nuklir",NULL,0,0,1,0,32,NULL,11
"11721     ","Ilmu Kedokteran Fisik Dan Rehabilitasi",NULL,0,0,1,0,32,NULL,11
"11722     ","Ilmu Kedokteran Olahraga",NULL,0,0,1,0,32,NULL,11
"11723     ",Radiologi,NULL,0,0,1,0,32,NULL,11
"11724     ",Psikiatri,NULL,0,0,1,0,32,NULL,11
"11725     ","Mikrobiologi Klinik",NULL,0,0,1,0,32,NULL,11
"11726     ","Farmakologi Klinik",NULL,0,0,1,0,32,NULL,11
"11727     ","Kedokteran Okupasi",NULL,0,0,1,0,32,NULL,11
"11728     ","Ilmu Bedah Orthopaedi Dan Traumatologi",NULL,0,0,1,0,32,NULL,11
"11729     ","Bedah Syaraf",NULL,0,0,1,0,32,NULL,11
"11731     ","Bedah Torak Kardiovaskuler",NULL,0,0,1,0,32,NULL,11
"11732     ","Ilmu Bedah",NULL,0,0,1,0,37,NULL,11
"11733     ","Ilmu Kesehatan Anak",NULL,0,0,1,0,37,NULL,11
"11734     ","Ilmu Penyakit Dalam",NULL,0,0,1,0,37,NULL,11
"11738     ","Onkologi Radiasi",NULL,0,0,1,0,32,NULL,11
"11739     ","Kedokteran Penerbangan",NULL,0,0,1,0,32,NULL,11
"11740     ","Ners Spesialis Keperawatan Medikal Bedah",NULL,0,0,1,0,32,NULL,11
"11741     ","Ners Spesialis Keperawatan Anak",NULL,0,0,1,0,32,NULL,11
"11742     ","Ners Spesialis Keperawatan Jiwa",NULL,0,0,1,0,32,NULL,11
"11743     ","Parasitologi Klinik",NULL,0,0,1,0,32,NULL,11
"11744     ","Akupunktur Medik",NULL,0,0,1,0,32,NULL,11
"11745     ","Ners Spesialis Keperawatan Maternitas",NULL,0,0,1,0,32,NULL,11
"11746     ","Ners Spesilias Keperawatan Komunitas",NULL,0,0,1,0,32,NULL,11
"11750     ","Radiologi Kedokteran Gigi",NULL,0,0,1,0,32,NULL,11
"11801     ","Bedah Kepala Leher",NULL,0,0,1,0,37,NULL,11
"11802     ","Bedah Digestif",NULL,0,0,1,0,37,NULL,11
"11807     ","Anestesiologi Dan Reanimasi",NULL,0,0,1,0,37,NULL,11
"11810     ","Kedokteran Jiwa",NULL,0,0,1,0,37,NULL,11
"11816     ","Obstetri dan Ginekologi ",NULL,0,0,1,0,37,NULL,11
"11824     ",Psikiatri,NULL,0,0,1,0,37,NULL,11
"11901     ","Profesi Dokter",NULL,0,0,1,0,25,NULL,11
"12001     ","Ilmu Kedokteran Gigi",NULL,0,0,1,0,40,NULL,11
"12101     ","Ilmu Kedokteran Gigi",NULL,0,0,1,0,35,NULL,11
"12102     ","Ilmu Kedokteran Gigi Dasar",NULL,0,0,1,0,35,NULL,11
"12103     ","Ilmu Kedokteran Gigi Komunitas",NULL,0,0,1,0,35,NULL,11
"12201     ","Kedokteran Gigi",NULL,0,0,1,0,30,NULL,11
"12301     ","Keperawatan Gigi",NULL,0,0,1,0,23,NULL,11
"12302     ","Keperawatan Gigi",NULL,0,0,1,0,23,NULL,11
"12401     ","Keperawatan Gigi",NULL,0,0,1,0,22,NULL,11
"12402     ","Keperawatan Gigi",NULL,0,0,1,0,22,NULL,11
"12472     ","Keperawatan Gigi (Kampus Bukit Tinggi)",NULL,0,0,1,0,22,NULL,11
"12701     ","Ilmu Bedah Mulut",NULL,0,0,1,0,32,NULL,11
"12702     ","Ilmu Penyakit Mulut",NULL,0,0,1,0,32,NULL,11
"12703     ","Ilmu Konservasi Gigi",NULL,0,0,1,0,32,NULL,11
"12704     ","Ilmu Kesehatan Gigi Anak",NULL,0,0,1,0,32,NULL,11
"12705     ","Dokter Gigi Periodonsia",NULL,0,0,1,0,32,NULL,11
