id_smt,id_thn_ajaran,nm_smt,smt,a_periode_aktif,tgl_mulai,is_active,tgl_selesai
19971,1997,"1997/1998 Ganjil",1,0,1997-07-01,0,1997-12-31
19972,1997,"1997/1998 Genap",2,0,1998-01-01,0,1998-06-30
19981,1998,"1998/1999 Ganjil",1,0,1998-07-01,0,1998-12-31
19982,1998,"1998/1999 Genap",2,0,1999-01-01,0,1999-06-30
19991,1999,"1999/2000 Ganjil",1,0,1999-07-01,0,1999-12-31
19992,1999,"1999/2000 Genap",2,0,2000-01-01,0,2000-06-30
20001,2000,"2000/2001 Ganjil",1,0,2000-07-01,0,2000-12-31
20002,2000,"2000/2001 Genap",2,0,2001-01-01,0,2001-06-30
20011,2001,"2001/2002 Ganjil",1,0,2001-07-01,0,2001-12-31
20012,2001,"2001/2002 Genap",2,0,2002-01-01,0,2002-06-30
20021,2002,"2002/2003 Ganjil",1,0,2002-07-01,0,2002-12-31
20022,2002,"2002/2003 Genap",2,0,2003-01-01,0,2003-06-30
20031,2003,"2003/2004 Ganjil",1,0,2003-07-01,0,2003-12-31
20032,2003,"2003/2004 Genap",2,0,2004-01-01,0,2004-06-30
20041,2004,"2004/2005 Ganjil",1,0,2004-07-01,0,2004-12-31
20042,2004,"2004/2005 Genap",2,0,2005-01-01,0,2005-06-30
20051,2005,"2005/2006 Ganjil",1,0,2005-07-01,0,2005-12-31
20052,2005,"2005/2006 Genap",2,0,2006-01-01,0,2006-06-30
20061,2006,"2006/2007 Ganjil",1,0,2006-07-01,0,2006-12-31
20062,2006,"2006/2007 Genap",2,0,2007-01-01,0,2007-06-30
20071,2007,"2007/2008 Ganjil",1,0,2007-07-01,0,2007-12-31
20072,2007,"2007/2008 Genap",2,0,2008-01-01,0,2008-06-30
20081,2008,"2008/2009 Ganjil",1,0,2008-07-01,0,2008-12-31
20082,2008,"2008/2009 Genap",2,0,2009-01-01,0,2009-06-30
20091,2009,"2009/2010 Ganjil",1,1,2009-07-01,0,2009-12-31
20092,2009,"2009/2010 Genap",2,1,2010-01-01,0,2010-06-30
20101,2010,"2010/2011 Ganjil",1,1,2010-07-01,0,2010-12-31
20102,2010,"2010/2011 Genap",2,1,2011-01-01,0,2011-06-30
20111,2011,"2011/2012 Ganjil",1,1,2011-07-01,0,2011-12-31
20112,2011,"2011/2012 Genap",2,1,2012-01-01,0,2012-06-30
20121,2012,"2012/2013 Ganjil",1,1,2012-07-01,0,2012-12-31
20122,2012,"2012/2013 Genap",2,1,2013-01-01,0,2013-06-30
20131,2013,"2013/2014 Ganjil",1,1,2013-07-01,0,2013-12-31
20132,2013,"2013/2014 Genap",2,1,2014-01-01,0,2014-06-30
20141,2014,"2014/2015 Ganjil",1,1,2014-07-01,0,2014-12-31
20142,2014,"2014/2015 Genap",2,1,2015-01-01,0,2015-06-30
20151,2015,"2015/2016 Ganjil",1,1,2015-07-01,0,2015-12-31
20152,2015,"2015/2016 Genap",2,1,2016-01-01,1,2016-06-30
