id_thn_ajaran,nm_thn_ajaran,a_periode_aktif,tgl_mulai,tgl_selesai
0,0,0,1901-01-01,2030-12-31
1997,1997/1998,0,1997-07-15,1998-06-01
1998,1998/1999,0,1998-07-15,1999-06-01
1999,1999/2000,1,1999-07-15,2000-06-01
2000,2000/2001,0,2000-07-15,2001-06-01
2001,2001/2002,0,2001-07-15,2002-06-01
2002,2002/2003,0,2002-07-15,2003-06-01
2003,2003/2004,0,2003-07-15,2004-06-01
2004,2004/2005,0,2004-07-15,2005-06-01
2005,2005/2006,0,2005-07-15,2006-06-01
2006,2006/2007,0,2006-07-15,2007-06-01
2007,2007/2008,0,2007-07-15,2008-06-01
2008,2008/2009,0,2008-07-15,2009-06-01
2009,2009/2010,0,2009-07-15,2010-06-01
2010,2010/2011,0,2010-07-15,2011-06-01
2011,2011/2012,0,2011-07-15,2012-06-01
2012,2012/2013,0,2012-07-15,2013-06-01
2013,2013/2014,1,2013-07-15,2014-06-01
2014,2014/2015,1,2014-07-15,2015-07-20
2015,2015/2016,1,2015-07-15,2016-06-01
