id_wil,nm_wil,asal_wil,kode_bps,kode_dagri,kode_keu,id_induk_wilayah,id_level_wil,id_negara
"000000  ","Indonesia                     ",NULL,NULL,NULL,NULL,0,0,ID
"010000  ","Prop. D.K.I. Jakarta          ","NULL    ",NULL,NULL,NULL,"000000  ",1,ID
"010100  ","Kab. Kepulauan Seribu         ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"010101  ","Kec. Kepulauan Seribu Selatan ","NULL    ",NULL,NULL,NULL,"010100  ",3,ID
"010102  ","Kec. Kepulauan Seribu Utara   ","NULL    ",NULL,NULL,NULL,"010100  ",3,ID
"016000  ","Kota Jakarta Pusat            ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"016001  ","Kec. Tanah Abang              ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016002  ","Kec. Menteng                  ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016003  ","Kec. Senen                    ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016004  ","Kec. Johar Baru               ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016005  ","Kec. Cempaka Putih            ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016006  ","Kec. Kemayoran                ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016007  ","Kec. Sawah Besar              ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016008  ","Kec. Gambir                   ","NULL    ",NULL,NULL,NULL,"016000  ",3,ID
"016100  ","Kota Jakarta Utara            ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"016101  ","Kec. Penjaringan              ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016102  ","Kec. Pademangan               ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016103  ","Kec. Tanjung Priok            ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016104  ","Kec. Koja                     ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016105  ","Kec. Kelapa Gading            ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016106  ","Kec. Cilincing                ","NULL    ",NULL,NULL,NULL,"016100  ",3,ID
"016200  ","Kota Jakarta Barat            ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"016201  ","Kec. Kembangan                ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016202  ","Kec. Kebon Jeruk              ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016203  ","Kec. Palmerah                 ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016204  ","Kec. Grogol Petamburan        ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016205  ","Kec. Tambora                  ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016206  ","Kec. Taman Sari               ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016207  ","Kec. Cengkareng               ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016208  ","Kec. Kali Deres               ","NULL    ",NULL,NULL,NULL,"016200  ",3,ID
"016300  ","Kota Jakarta Selatan          ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"016301  ","Kec. Jagakarsa                ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016302  ","Kec. Pasar Minggu             ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016303  ","Kec. Cilandak                 ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016304  ","Kec. Pesanggrahan             ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016305  ","Kec. Kebayoran Lama           ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016306  ","Kec. Kebayoran Baru           ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016307  ","Kec. Mampang Prapatan         ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016308  ","Kec. Pancoran                 ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016309  ","Kec. Tebet                    ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016310  ","Kec. Setia Budi               ","NULL    ",NULL,NULL,NULL,"016300  ",3,ID
"016400  ","Kota Jakarta Timur            ","NULL    ",NULL,NULL,NULL,"010000  ",2,ID
"016401  ","Kec. Pasar Rebo               ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016402  ","Kec. Ciracas                  ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016403  ","Kec. Cipayung                 ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016404  ","Kec. Makasar                  ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016405  ","Kec. Kramat Jati              ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016406  ","Kec. Jatinegara               ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016407  ","Kec. Duren Sawit              ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016408  ","Kec. Cakung                   ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016409  ","Kec. Pulo Gadung              ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"016410  ","Kec. Matraman                 ","NULL    ",NULL,NULL,NULL,"016400  ",3,ID
"020000  ","Prop. Jawa Barat              ","NULL    ",NULL,NULL,NULL,"000000  ",1,ID
"020500  ","Kab. Bogor                    ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"020501  ","Kec. Nanggung                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020502  ","Kec. Leuwiliang               ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020503  ","Kec. Pamijahan                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020504  ","Kec. Cibungbulang             ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020505  ","Kec. Ciampea                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020506  ","Kec. Dramaga                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020507  ","Kec. Ciomas                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020508  ","Kec. Cijeruk                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020509  ","Kec. Caringin                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020510  ","Kec. Ciawi                    ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020511  ","Kec. Cisarua                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020512  ","Kec. Megamendung              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020513  ","Kec. Sukaraja                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020514  ","Kec. Babakan Madang           ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020515  ","Kec. Sukamakmur               ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020516  ","Kec. Cariu                    ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020517  ","Kec. Jonggol                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020518  ","Kec. Cileungsi                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020519  ","Kec. Gunungputri              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020520  ","Kec. Citeureup                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020521  ","Kec. Cibinong                 ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020522  ","Kec. Bojong Gede              ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020523  ","Kec. Kemang                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020524  ","Kec. Parung                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020525  ","Kec. Gunung Sindur            ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020526  ","Kec. Rumpin                   ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020527  ","Kec. Cigudeg                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020528  ","Kec. Jasinga                  ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020529  ","Kec. Tenjo                    ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020530  ","Kec. Parungpanjang            ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
"020531  ","Kec. Tamansari                ","NULL    ",NULL,NULL,NULL,"020500  ",3,ID
